code_bassin;demandeurs_emploi;secteur_libelle
8457;179;Activités financières et d'assurance
8457;135;Arts, spectacles et activités récréatives
8457;96;Activités immobilières
8457;40;Agriculture, sylviculture et pêche
8457;32;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8457;27;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8457;3;Industries extractives
8456;75;Santé humaine et action sociale
8456;39;Industrie manufacturière
8456;37;Commerce -  réparation d'automobiles et de motocycles
8456;29;Construction
8456;16;Activités de services administratifs et de soutien
8456;15;Administration publique
8456;14;Hébergement et restauration
8456;10;Transports et entreposage
8456;8;Activités spécialisées, scientifiques et techniques
8456;4;Autres activités de services
8456;3;Industries extractives
8456;3;Agriculture, sylviculture et pêche
8456;2;Activités financières et d'assurance
8456;2;Arts, spectacles et activités récréatives
8456;1;Enseignement
8456;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8456;1;Activités immobilières
8455;271;Industrie manufacturière
8455;123;Commerce -  réparation d'automobiles et de motocycles
8455;102;Hébergement et restauration
8455;97;Santé humaine et action sociale
8455;90;Construction
8455;79;Transports et entreposage
8455;70;Administration publique
8455;44;Activités de services administratifs et de soutien
8455;44;Activités spécialisées, scientifiques et techniques
8455;26;Autres activités de services
8455;19;Activités financières et d'assurance
8455;16;Enseignement
8455;14;Arts, spectacles et activités récréatives
8455;7;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8455;7;Activités immobilières
8455;2;Agriculture, sylviculture et pêche
8455;1;Information et communication
8455;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8454;327;Industrie manufacturière
8454;176;Commerce -  réparation d'automobiles et de motocycles
8454;95;Hébergement et restauration
8454;91;Santé humaine et action sociale
8454;88;Construction
8454;42;Activités spécialisées, scientifiques et techniques
8454;30;Activités financières et d'assurance
8454;28;Administration publique
8454;28;Autres activités de services
8454;24;Activités de services administratifs et de soutien
8454;20;Transports et entreposage
8454;15;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8454;12;Arts, spectacles et activités récréatives
8454;12;Information et communication
8454;6;Enseignement
8454;6;Activités immobilières
8454;5;Agriculture, sylviculture et pêche
8453;311;Commerce -  réparation d'automobiles et de motocycles
8453;285;Santé humaine et action sociale
8453;246;Hébergement et restauration
8453;169;Industrie manufacturière
8453;160;Transports et entreposage
8453;133;Construction
8453;82;Activités spécialisées, scientifiques et techniques
8453;66;Activités de services administratifs et de soutien
8453;50;Administration publique
8453;48;Autres activités de services
8453;42;Activités financières et d'assurance
8453;26;Enseignement
8453;23;Information et communication
8453;21;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8453;18;Activités immobilières
8453;13;Arts, spectacles et activités récréatives
8453;13;Agriculture, sylviculture et pêche
8453;1;Industries extractives
8453;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8451;108;Commerce -  réparation d'automobiles et de motocycles
8451;76;Industrie manufacturière
8451;65;Santé humaine et action sociale
8451;47;Hébergement et restauration
8451;36;Construction
8451;28;Activités spécialisées, scientifiques et techniques
8451;23;Transports et entreposage
8451;20;Administration publique
8451;10;Enseignement
8451;8;Arts, spectacles et activités récréatives
8451;7;Agriculture, sylviculture et pêche
8451;5;Activités financières et d'assurance
8451;5;Autres activités de services
8451;3;Activités de services administratifs et de soutien
8451;2;Information et communication
8451;1;Industries extractives
8451;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8451;1;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8450;331;Commerce -  réparation d'automobiles et de motocycles
8450;245;Santé humaine et action sociale
8450;190;Hébergement et restauration
8450;169;Industrie manufacturière
8450;84;Transports et entreposage
8450;83;Construction
8450;67;Administration publique
8450;59;Activités spécialisées, scientifiques et techniques
8450;42;Activités de services administratifs et de soutien
8450;33;Activités financières et d'assurance
8450;33;Autres activités de services
8450;18;Enseignement
8450;17;Arts, spectacles et activités récréatives
8450;17;Activités immobilières
8450;15;Agriculture, sylviculture et pêche
8450;8;Information et communication
8450;4;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8450;1;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8450;1;Industries extractives
8449;447;Commerce -  réparation d'automobiles et de motocycles
8449;363;Industrie manufacturière
8449;349;Hébergement et restauration
8449;236;Santé humaine et action sociale
8449;196;Construction
8449;167;Activités de services administratifs et de soutien
8449;116;Activités spécialisées, scientifiques et techniques
8449;111;Transports et entreposage
8449;90;Autres activités de services
8449;68;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8449;49;Administration publique
8449;47;Information et communication
8449;30;Activités immobilières
8449;29;Arts, spectacles et activités récréatives
8449;22;Agriculture, sylviculture et pêche
8449;22;Activités financières et d'assurance
8449;20;Enseignement
8449;7;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8449;3;Industries extractives
8448;261;Hébergement et restauration
8448;248;Commerce -  réparation d'automobiles et de motocycles
8448;245;Santé humaine et action sociale
8448;177;Industrie manufacturière
8448;109;Activités de services administratifs et de soutien
8448;101;Construction
8448;100;Administration publique
8448;62;Transports et entreposage
8448;54;Activités spécialisées, scientifiques et techniques
8448;47;Autres activités de services
8448;37;Arts, spectacles et activités récréatives
8448;26;Activités financières et d'assurance
8448;19;Agriculture, sylviculture et pêche
8448;14;Activités immobilières
8448;12;Enseignement
8448;7;Information et communication
8448;7;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8448;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8447;264;Commerce -  réparation d'automobiles et de motocycles
8447;259;Hébergement et restauration
8447;194;Industrie manufacturière
8447;142;Santé humaine et action sociale
8447;120;Administration publique
8447;96;Activités de services administratifs et de soutien
8447;92;Construction
8447;35;Activités spécialisées, scientifiques et techniques
8447;29;Autres activités de services
8447;28;Transports et entreposage
8447;24;Arts, spectacles et activités récréatives
8447;22;Enseignement
8447;22;Activités financières et d'assurance
8447;11;Activités immobilières
8447;8;Agriculture, sylviculture et pêche
8447;3;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8447;2;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8447;1;Information et communication
8446;619;Commerce -  réparation d'automobiles et de motocycles
8446;424;Activités de services administratifs et de soutien
8446;329;Activités spécialisées, scientifiques et techniques
8446;328;Santé humaine et action sociale
8446;314;Hébergement et restauration
8446;280;Industrie manufacturière
8446;209;Construction
8446;192;Transports et entreposage
8446;152;Enseignement
8446;127;Administration publique
8446;77;Information et communication
8446;62;Autres activités de services
8446;53;Activités immobilières
8446;53;Activités financières et d'assurance
