annee;ROME;rome_label;cbassin;lib_bassin_bmo19;oee;defm_abc;ind_tension_d
2020;C1502;Gestion locative immobilière;9333;AIX  GARDANNE SALON;33;12;5
2020;C1503;Management de projet immobilier;9333;AIX  GARDANNE SALON;18;25;5
2020;C1504;Transaction immobilière;9333;AIX  GARDANNE SALON;26;87;5
2020;D1101;Boucherie;9333;AIX  GARDANNE SALON;36;13;5
2020;D1102;Boulangerie - viennoiserie;9333;AIX  GARDANNE SALON;57;30;4
2020;D1104;Pâtisserie, confiserie, chocolaterie et glacerie;9333;AIX  GARDANNE SALON;53;32;4
2020;D1106;Vente en alimentation;9333;AIX  GARDANNE SALON;202;110;2
2020;D1202;Coiffure;9333;AIX  GARDANNE SALON;61;56;5
2020;D1205;Nettoyage d'articles textiles ou cuirs;9333;AIX  GARDANNE SALON;10;1;2
2020;D1208;Soins esthétiques et corporels;9333;AIX  GARDANNE SALON;59;84;5
2020;D1209;Vente de végétaux;9333;AIX  GARDANNE SALON;10;25;1
2020;D1211;Vente en articles de sport et loisirs;9333;AIX  GARDANNE SALON;28;70;1
2020;D1212;Vente en décoration et équipement du foyer;9333;AIX  GARDANNE SALON;249;1;3
2020;D1213;Vente en gros de matériel et équipement;9333;AIX  GARDANNE SALON;7;1;2
2020;D1214;Vente en habillement et accessoires de la personne;9333;AIX  GARDANNE SALON;112;292;1
2020;D1401;Assistanat commercial;9333;AIX  GARDANNE SALON;419;173;2
2020;D1402;Relation commerciale grands comptes et entreprises;9333;AIX  GARDANNE SALON;127;97;5
2020;D1403;Relation commerciale auprès de particuliers;9333;AIX  GARDANNE SALON;351;38;5
2020;D1404;Relation commerciale en vente de véhicules;9333;AIX  GARDANNE SALON;13;28;5
2020;D1406;Management en force de vente;9333;AIX  GARDANNE SALON;88;1;2
2020;D1407;Relation technico-commerciale;9333;AIX  GARDANNE SALON;109;45;5
2020;D1408;Téléconseil et télévente;9333;AIX  GARDANNE SALON;221;86;5
2020;D1501;Animation de vente;9333;AIX  GARDANNE SALON;143;2;5
2020;D1502;Management/gestion de rayon produits alimentaires;9333;AIX  GARDANNE SALON;9;1;4
2020;D1503;Management/gestion de rayon produits non alimentaires;9333;AIX  GARDANNE SALON;11;5;3
2020;D1505;Personnel de caisse;9333;AIX  GARDANNE SALON;59;79;1
2020;D1507;Mise en rayon libre-service;9333;AIX  GARDANNE SALON;927;176;3
2020;D1508;Encadrement du personnel de caisses;9333;AIX  GARDANNE SALON;4;2;4
2020;E1101;Animation de site multimédia;9333;AIX  GARDANNE SALON;7;1;1
2020;E1103;Communication;9333;AIX  GARDANNE SALON;24;135;1
2020;E1106;Journalisme et information média;9333;AIX  GARDANNE SALON;3;29;5
2020;E1205;Réalisation de contenus multimédias;9333;AIX  GARDANNE SALON;7;89;4
2020;F1101;Architecture du BTP;9333;AIX  GARDANNE SALON;7;1;3
2020;F1103;Contrôle et diagnostic technique du bâtiment;9333;AIX  GARDANNE SALON;10;5;5
2020;F1104;Dessin BTP;9333;AIX  GARDANNE SALON;75;1;5
2020;F1106;Ingénierie et études du BTP;9333;AIX  GARDANNE SALON;97;36;5
2020;F1108;Métré de la construction;9333;AIX  GARDANNE SALON;8;3;5
2020;F1201;Conduite de travaux du BTP;9333;AIX  GARDANNE SALON;151;1;5
2020;F1202;Direction de chantier du BTP;9333;AIX  GARDANNE SALON;96;26;5
2020;F1301;Conduite de grue;9333;AIX  GARDANNE SALON;10;12;5
2020;F1302;Conduite d'engins de terrassement et de carrière;9333;AIX  GARDANNE SALON;37;44;5
2020;F1502;Montage de structures métalliques;9333;AIX  GARDANNE SALON;21;6;4
2020;F1602;Électricité bâtiment;9333;AIX  GARDANNE SALON;117;44;4
2020;F1603;Installation d'équipements sanitaires et thermiques;9333;AIX  GARDANNE SALON;160;34;5
2020;F1604;Montage d'agencements;9333;AIX  GARDANNE SALON;69;1;4
2020;F1605;Montage de réseaux électriques et télécoms;9333;AIX  GARDANNE SALON;35;1;5
2020;F1606;Peinture en bâtiment;9333;AIX  GARDANNE SALON;54;73;5
2020;F1607;Pose de fermetures menuisées;9333;AIX  GARDANNE SALON;52;20;5
2020;F1608;Pose de revêtements rigides;9333;AIX  GARDANNE SALON;22;11;5
2020;F1610;Pose et restauration de couvertures;9333;AIX  GARDANNE SALON;39;4;5
2020;F1611;Réalisation et restauration de façades;9333;AIX  GARDANNE SALON;4;6;5
2020;F1613;Travaux d'étanchéité et d'isolation;9333;AIX  GARDANNE SALON;7;7;4
2020;F1701;Construction en béton;9333;AIX  GARDANNE SALON;63;33;5
2020;F1702;Construction de routes et voies;9333;AIX  GARDANNE SALON;3;14;5
2020;F1703;Maçonnerie;9333;AIX  GARDANNE SALON;122;131;4
2020;F1704;Préparation du gros oeuvre et des travaux publics;9333;AIX  GARDANNE SALON;159;111;5
2020;G1101;Accueil touristique;9333;AIX  GARDANNE SALON;20;3;5
2020;G1201;Accompagnement de voyages, d'activités culturelles ou sportives;9333;AIX  GARDANNE SALON;6;25;2
2020;G1202;Animation d'activités culturelles ou ludiques;9333;AIX  GARDANNE SALON;9;47;1
2020;G1203;Animation de loisirs auprès d'enfants ou d'adolescents;9333;AIX  GARDANNE SALON;50;65;1
2020;G1204;Éducation en activités sportives;9333;AIX  GARDANNE SALON;29;126;1
2020;G1303;Vente de voyages;9333;AIX  GARDANNE SALON;19;12;5
2020;G1401;Assistance de direction d'hôtel-restaurant;9333;AIX  GARDANNE SALON;32;25;3
2020;G1402;Management d'hôtel-restaurant;9333;AIX  GARDANNE SALON;1;55;2
2020;G1404;Management d'établissement de restauration collective;9333;AIX  GARDANNE SALON;4;1;3
2020;G1501;Personnel d'étage;9333;AIX  GARDANNE SALON;151;1;2
2020;G1502;Personnel polyvalent d'hôtellerie;9333;AIX  GARDANNE SALON;11;6;1
2020;G1601;Management du personnel de cuisine;9333;AIX  GARDANNE SALON;48;33;5
2020;G1602;Personnel de cuisine;9333;AIX  GARDANNE SALON;358;170;4
2020;G1603;Personnel polyvalent en restauration;9333;AIX  GARDANNE SALON;188;99;4
2020;G1604;Fabrication de crêpes ou pizzas;9333;AIX  GARDANNE SALON;25;4;4
2020;G1605;Plonge en restauration;9333;AIX  GARDANNE SALON;83;68;4
2020;G1703;Réception en hôtellerie;9333;AIX  GARDANNE SALON;124;41;1
2020;G1801;Café, bar brasserie;9333;AIX  GARDANNE SALON;47;2;3
2020;G1802;Management du service en restauration;9333;AIX  GARDANNE SALON;29;18;5
2020;G1803;Service en restauration;9333;AIX  GARDANNE SALON;273;152;3
2020;H1101;Assistance et support technique client;9333;AIX  GARDANNE SALON;49;6;5
2020;H1102;Management et ingénierie d'affaires;9333;AIX  GARDANNE SALON;69;17;5
2020;H1203;Conception et dessin produits mécaniques;9333;AIX  GARDANNE SALON;84;24;5
